Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2023-06-17,D,N-CLVRKDS14UIA,2023-06-17T10:58:40Z,S36,UIA_F6-S36_FFT-5_01,WIP3614MUIAX0013X,"check_multi_pentest_log
","check_multi_pentest_log  
",0,0,1,0,0,
2023-06-17,D,N-CLVRKDS14UIA,2023-06-17T12:29:51Z,S36,UIA_F6-S36_FFT-5_01,WIP3614MUIAX0014W,"start_multi_pentest
","start_multi_pentest  
",0,0,1,0,0,
2023-06-17,D,N-CLVRKDS14UIA,2023-06-17T13:25:37Z,S36,UIA_F6-S36_FFT-5_01,WIP3615MUIAX0016X,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
2023-06-17,D,N-CLVRKDS14UIA,2023-06-17T10:58:40Z,S36,UIA_F6-S36_FFT-5_01,WIP3614MUIAX0013X,"check_multi_pentest_log
","check_multi_pentest_log  
",1,0,0,0,0,
2023-06-19,D,N-CLVRKDS14UIA,2023-06-19T15:21:08Z,S36,UIA_F6-S36_FFT-5_01,WIP3616MUIAX001F5,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
2023-06-21,D,N-CLVRKDS14UIA,2023-06-21T09:26:55Z,S36,UIA_F6-S36_FFT-5_01,WIP3613MUIAX000PB,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
2023-06-21,D,N-CLVRKDS14UIA,2023-06-21T09:31:38Z,S36,UIA_F6-S36_FFT-5_01,WIP3613MUIAX000L4,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
2023-06-17,D,N-CLVRKDS14UIA,2023-06-17T12:29:51Z,S36,UIA_F6-S36_FFT-5_01,WIP3614MUIAX0014W,"start_multi_pentest
","start_multi_pentest  
",1,0,0,0,0,
2023-06-21,D,N-CLVRKDS14UIA,2023-06-21T11:07:37Z,S36,UIA_F6-S36_FFT-5_01,WIP3613MUIAX000WG,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
2023-06-21,D,N-CLVRKDS14UIA,2023-06-21T12:12:19Z,S36,UIA_F6-S36_FFT-5_01,WIP3614MUIAX0014M,"powerButton_test
","powerButton_test  
",1,0,0,0,0,
